Tag,C,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
HUDs,8523.4375,83,20294,0.8725461617832323,0.8072289156626506,0.937863407903814
Items,753.90625,556,19821,0.8231531469239624,0.7823741007194245,0.8639321931285001
Improvements,6.484375,5,20372,0.9256823090516395,1.0,0.851364618103279
Language,15976.5625,62,20315,0.8801969782379142,0.7903225806451613,0.970071375830667
Level,451.5625,404,19973,0.9116988627716724,0.8910891089108911,0.9323086166324538
Libraries,4933.984375,165,20212,0.8406791045223659,0.7757575757575758,0.9056006332871561
Magic,13712.5,204,20173,0.8902640444469068,0.8872549019607843,0.8932731869330293
Makeup,177.34375,31,20346,0.9930453160326354,1.0,0.9860906320652708
Map,718.75,805,19572,0.9127631310034743,0.8857142857142857,0.939811976292663
Masculine,1000.0,140,20237,0.9724848050600385,0.9785714285714285,0.9663981815486485
Medieval,10000.0,28,20349,0.8160106147722247,0.7142857142857143,0.9177355152587351
Memes,1000.0,40,20337,0.7924835275606039,0.675,0.9099670551212077
Minigames,16574.21875,71,20306,0.8842706589185463,0.8169014084507042,0.9516399093863882
Miscellaneous,142.1875,1418,18959,0.7630104819017447,0.7101551480959097,0.8158658157075795
Model,100.0,784,19593,0.9160587600527885,0.9030612244897959,0.9290562956157812
Modern,1998.4375,29,20348,0.8587101672281611,0.7931034482758621,0.92431688618046
Modpacks,8875.0,1134,19243,0.9392293044833362,0.9091710758377425,0.96928753312893
Monsters,15062.5,137,20240,0.8834419448371369,0.8686131386861314,0.8982707509881422
Multiplayer,10000.0,475,19902,0.8456564534640792,0.7810526315789473,0.9102602753492112
NPC,15625.0,256,20121,0.9121630541474082,0.890625,0.9337011082948163
Overrides,9648.4375,24,20353,0.9567866735452595,0.9583333333333334,0.9552400137571857
Pants,102.109375,50,20327,0.9806282284646037,0.98,0.9812564569292075
Preset,82.421875,6,20371,0.7250871336704139,0.5,0.9501742673408277
Prop,2406.25,25,20352,0.8602289701257861,0.88,0.8404579402515723
PvP,198.4375,101,20276,0.8612940920251031,0.7920792079207921,0.9305089761294141
Quality of Life,12636.71875,105,20272,0.83967212575638,0.8095238095238095,0.8698204419889503
Quests,3531.25,58,20319,0.9017019063183601,0.9137931034482759,0.8896107091884443
Realistic,15976.5625,748,19629,0.9042943459461785,0.910427807486631,0.8981608844057262
Relaxing,437.5,32,20345,0.8770782133202262,0.8125,0.9416564266404522
Roleplay,1000.0,751,19626,0.9022592655765342,0.8948069241011984,0.9097116070518699
Rooms,2195.3125,104,20273,0.9175686969026633,0.8942307692307693,0.9409066245745573
Scenario,15976.5625,103,20274,0.9245334068887312,0.883495145631068,0.9655716681463944
Scene,15976.5625,565,19812,0.9443751797873461,0.9168141592920354,0.9719362002826569
Server-side,66.25,544,19833,0.8159001745456917,0.7610294117647058,0.8707709373266778
Shirts,100.0,130,20247,0.9718296347797015,0.9615384615384616,0.9821208080209414
Shoes,1569.53125,45,20332,0.9780439154480075,0.9777777777777777,0.9783100531182373
Singleplayer,12812.5,983,19394,0.9323481132432754,0.9175991861648016,0.947097040321749
Skins,6238.28125,353,20024,0.8962753902116327,0.8243626062322946,0.9681881741909708
Skirts,26.171875,26,20351,0.9914254827772591,1.0,0.9828509655545182
Storage,6364.84375,108,20269,0.8872955050862199,0.8518518518518519,0.9227391583205881
Suits,100.0,216,20161,0.8998279130775039,0.8611111111111112,0.9385447150438966
Tattoos,22.65625,46,20331,0.9774984869967259,0.9565217391304348,0.998475234863017
Technology,100.0,232,20145,0.8652369459350742,0.8103448275862069,0.9201290642839415
Textures,7750.0,173,20204,0.8692724384686601,0.8497109826589595,0.8888338942783607
Tools,3503.125,300,20077,0.8137493151367237,0.77,0.8574986302734472
Tooltip,648.4375,147,20230,0.8984334910434761,0.8639455782312925,0.9329214038556599
Traditional,1464.0625,36,20341,0.9234523594928687,0.8888888888888888,0.9580158300968488
Traits,2265.625,34,20343,0.8993034169869099,0.8235294117647058,0.9750774222091138
Translation,2575.0,31,20346,0.8519222293040084,0.7419354838709677,0.9619089747370491
Tweaks,493.75,493,19884,0.8719165480272395,0.8681541582150102,0.8756789378394689
UI,2125.0,204,20173,0.8447140567425107,0.8333333333333334,0.8560947801516879
Utility,3390.625,287,20090,0.8227974116475858,0.8118466898954704,0.8337481333997013
Vehicle,14640.625,279,20098,0.9171051988624914,0.8960573476702509,0.9381530500547318
Video,2195.3125,377,20000,0.941312201591512,0.9204244031830239,0.9622
Weapons,16264.84375,1043,19334,0.9205940364472505,0.909875359539789,0.9313127133547119
World,3250.0,105,20272,0.8797602604577742,0.8571428571428571,0.9023776637726914
World Gen,1112.5,130,20247,0.8709645493539404,0.823076923076923,0.9188521756309577
