Tag,C,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Fantasy,4431.25,46,20331,0.8788838205952358,0.8260869565217391,0.9316806846687324
Farming,3250.0,75,20302,0.8860132006698846,0.84,0.9320264013397694
Feminine,1000.0,499,19878,0.9768412466345308,0.9719438877755511,0.9817386054935104
Food,15976.5625,112,20265,0.89501449543548,0.8660714285714286,0.9239575622995312
Fun,66.25,1109,19268,0.9153997068168361,0.8935978358881875,0.9372015777454847
Furniture,10562.5,31,20346,0.8543955695500106,0.8064516129032258,0.9023395261967955
Gameplay,2125.0,681,19696,0.8373461638938293,0.7973568281938326,0.8773354995938262
Hairstyles,3250.0,204,20173,0.992123766673179,0.9901960784313726,0.9940514549149854
Head Accessories,859.375,84,20293,0.9739873355344207,0.9642857142857143,0.9836889567831272
HUDs,2125.0,83,20294,0.8718194943962307,0.8192771084337349,0.9243618803587267
Items,15976.5625,556,19821,0.8293861807783983,0.8075539568345323,0.8512184047222643
Improvements,159.765625,5,20372,0.9670135480070685,1.0,0.934027096014137
Language,11335.9375,62,20315,0.8728216080601494,0.7741935483870968,0.9714496677332021
Level,8312.5,404,19973,0.9157998818206559,0.9183168316831684,0.9132829319581435
Libraries,12497.5,165,20212,0.8594546294130699,0.8121212121212121,0.9067880467049277
Magic,1281.25,204,20173,0.8917843496889164,0.8725490196078431,0.9110196797699895
Makeup,1745.3125,31,20346,0.9767934094995292,0.967741935483871,0.9858448835151873
Map,325.0,805,19572,0.9076344644967522,0.8708074534161491,0.9444614755773554
Masculine,1000.0,140,20237,0.9748814053466422,0.9785714285714285,0.971191382121856
Medieval,15976.5625,28,20349,0.8451889527740921,0.7857142857142857,0.9046636198338984
Memes,3271.09375,40,20337,0.8335589074101392,0.775,0.8921178148202783
Minigames,2687.5,71,20306,0.9066532059489806,0.8591549295774648,0.9541514823204964
Miscellaneous,12.8125,1418,18959,0.755880181947073,0.6904090267983075,0.8213513370958384
Model,14781.25,784,19593,0.91886497364219,0.9081632653061225,0.9295666819782575
Modern,1562.5,29,20348,0.8159058248544295,0.6896551724137931,0.9421564772950659
Modpacks,964.84375,1134,19243,0.9339862563459023,0.9029982363315696,0.9649742763602349
Monsters,2687.5,137,20240,0.8797923098006404,0.8613138686131386,0.8982707509881422
Multiplayer,100.0,475,19902,0.850221241980441,0.7873684210526316,0.9130740629082504
NPC,4902.34375,256,20121,0.918658813397694,0.88671875,0.9505988767953879
Overrides,3155.078125,24,20353,0.9239158027481615,0.9166666666666666,0.9311649388296566
Pants,1914.0625,50,20327,0.9505298371623949,0.92,0.9810596743247897
Preset,12.109375,6,20371,0.7269279858622552,0.5,0.9538559717245103
Prop,5668.75,25,20352,0.9031996855345912,0.92,0.8863993710691824
PvP,100.0,101,20276,0.8636614228595872,0.7920792079207921,0.9352436377983824
Quality of Life,15976.5625,105,20272,0.8256560773480663,0.7714285714285715,0.8798835832675612
Quests,5500.0,58,20319,0.8939509648689608,0.8620689655172413,0.9258329642206802
Realistic,1000.0,748,19629,0.8879413658117437,0.8663101604278075,0.9095725711956799
Relaxing,100.0,32,20345,0.909040919144753,0.875,0.943081838289506
Roleplay,88.75,751,19626,0.8882507687362196,0.8561917443408789,0.9203097931315601
Rooms,15976.5625,104,20273,0.9286425389585997,0.8942307692307693,0.9630543086864303
Scenario,8382.8125,103,20274,0.9425532821701907,0.9029126213592233,0.9821939429811581
Scene,4375.0,565,19812,0.951962875811388,0.9345132743362832,0.969412477286493
Server-side,31.09375,544,19833,0.8330147262732048,0.7886029411764706,0.877426511369939
Shirts,15976.5625,130,20247,0.9769536607512603,0.9769230769230769,0.9769842445794439
Shoes,1703.125,45,20332,0.9692198395523204,0.9555555555555556,0.9828841235490852
Singleplayer,198.4375,983,19394,0.9288552237579955,0.9043743641912513,0.9533360833247396
Skins,7468.75,353,20024,0.9048919625061824,0.8441926345609065,0.9655912904514582
Skirts,254.6875,26,20351,0.97185075010489,0.9615384615384616,0.9821630386713184
Storage,718.75,108,20269,0.87656414740262,0.8240740740740741,0.9290542207311658
Suits,1703.125,216,20161,0.9078639176848591,0.8888888888888888,0.9268389464808293
