Tag,Alpha,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Modpacks,0.0187890625,1134,19243,0.9312708228677672,0.8888888888888888,0.9736527568466455
Monsters,0.0296875,137,20240,0.8562393612417414,0.8175182481751825,0.8949604743083004
Multiplayer,0.0155546875,475,19902,0.8513847854486987,0.76,0.9427695708973972
NPC,0.04375,256,20121,0.882312885946275,0.94140625,0.8232195218925501
Overrides,0.033203125,24,20353,0.9170372099117248,0.9166666666666666,0.9174077531567828
Pants,0.021249999999999998,50,20327,0.9710842721503419,0.98,0.9621685443006838
Preset,0.005978124999999999,6,20371,0.7940618199073847,0.6666666666666666,0.9214569731481027
Prop,0.4375,25,20352,0.8873044418238993,0.92,0.8546088836477987
PvP,0.046914062500000006,101,20276,0.8830874037295227,0.8415841584158416,0.9245906490432038
Quality of Life,0.04234375000000001,105,20272,0.8526078663509602,0.8761904761904762,0.8290252565114443
Quests,1.1124999999999998,58,20319,0.8937456194389148,0.896551724137931,0.8909395147398986
Realistic,0.023710937499999994,748,19629,0.8922491835854567,0.9719251336898396,0.8125732334810739
Relaxing,0.05710937500000002,32,20345,0.9232597075448513,0.9375,0.9090194150897026
Roleplay,0.021249999999999998,751,19626,0.8890470506867232,0.9387483355525965,0.8393457658208499
Rooms,0.17031250000000003,104,20273,0.8819828096483007,0.875,0.8889656192966013
Scenario,0.010000000000000002,103,20274,0.941747812253678,0.941747572815534,0.9417480516918221
Scene,0.016328125,565,19812,0.9398275202835861,0.911504424778761,0.9681506157884111
Server-side,0.03390625,544,19833,0.8191860676353433,0.7463235294117647,0.892048605858922
Shirts,0.015625,130,20247,0.9714960620946693,0.9769230769230769,0.9660690472662616
Shoes,0.07820312500000001,45,20332,0.9678875117494044,0.9777777777777777,0.9579972457210308
Singleplayer,0.08453125000000003,983,19394,0.9331297311593154,0.9389623601220752,0.9272971021965556
Skins,0.014218750000000006,353,20024,0.8835637320201594,0.8045325779036827,0.962594886136636
Skirts,0.15976562500000002,26,20351,0.9835880300722324,1.0,0.9671760601444647
Storage,0.021249999999999998,108,20269,0.8715318320441908,0.8240740740740741,0.9189895900143076
Suits,0.028984374999999993,216,20161,0.8974303155891371,0.8518518518518519,0.9430087793264224
Tattoos,0.18198437500000003,46,20331,0.982170619721864,0.9782608695652174,0.9860803698785107
Technology,0.083125,232,20145,0.8539523797297182,0.7758620689655172,0.9320426904939191
Textures,0.15835937500000002,173,20204,0.8736988211571451,0.9075144508670521,0.8398831914472382
Tools,0.024062499999999994,300,20077,0.8151056764788895,0.7933333333333333,0.8368780196244459
Tooltip,0.06343750000000001,147,20230,0.8888873196337358,0.8503401360544217,0.9274345032130499
Traditional,0.0010000000000000009,36,20341,0.8918645428772758,0.8333333333333334,0.9503957524212182
Traits,0.021953124999999997,34,20343,0.897336415763769,0.9117647058823529,0.8829081256451851
Translation,0.0159765625,31,20346,0.8708036453230087,0.7741935483870968,0.9674137422589206
Tweaks,0.011511718749999999,493,19884,0.8751519461966628,0.8722109533468559,0.8780929390464696
UI,0.11335937500000001,204,20173,0.8404585871427835,0.9068627450980392,0.7740544291875279
Utility,0.07328125000000002,287,20090,0.8431557989049279,0.8536585365853658,0.8326530612244898
Vehicle,0.013515625,279,20098,0.9041517353498324,0.9283154121863799,0.8799880585132849
Video,0.014921875000000005,377,20000,0.9381559018567639,0.9071618037135278,0.96915
Weapons,0.08875,1043,19334,0.9031842572426917,0.8916586768935763,0.9147098375918071
World,0.4304687499999999,105,20272,0.8707363193896343,0.8761904761904762,0.8652821625887924
World Gen,0.023359374999999995,130,20247,0.8807002746845687,0.8461538461538461,0.9152467032152911
