Tag,C,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Fun,26.171875,1109,19268,0.9133108329325823,0.8899909828674482,0.9366306829977165
Furniture,13726.5625,31,20346,0.8597853901694239,0.8387096774193549,0.8808611029194928
Gameplay,1000.0,681,19696,0.8356004662947283,0.7929515418502202,0.8782493907392364
Hairstyles,15976.5625,204,20173,0.9925946931590759,0.9901960784313726,0.9949933078867793
Head Accessories,100.0,84,20293,0.9749975360961909,0.9642857142857143,0.9857093579066674
HUDs,100.0,83,20294,0.8586501322130939,0.7831325301204819,0.9341677343057061
Items,100.0,556,19821,0.8272711632419507,0.7913669064748201,0.8631754200090813
Improvements,226.5625,5,20372,0.9366532495582172,1.0,0.8733064991164343
Language,16574.21875,62,20315,0.8926012083872557,0.8387096774193549,0.9464927393551563
Level,100.0,404,19973,0.8986264501631658,0.8787128712871287,0.918540029039203
Libraries,14950.0,165,20212,0.849411090921085,0.8121212121212121,0.8867009697209578
Magic,578.125,204,20173,0.8980495187218793,0.8823529411764706,0.913746096267288
Makeup,15976.5625,31,20346,0.9917674235722009,1.0,0.9835348471444019
Map,100.0,805,19572,0.9113196314166645,0.8757763975155279,0.946862865317801
Masculine,15976.5625,140,20237,0.9730036566684785,0.9785714285714285,0.9674358847655284
Medieval,1000.0,28,20349,0.8430266843579537,0.7857142857142857,0.9003390830016217
Memes,100.0,40,20337,0.8358207946108078,0.775,0.8966415892216157
Minigames,5050.0,71,20306,0.8967792770609673,0.8450704225352113,0.9484881315867232
Miscellaneous,15.625,1418,18959,0.755125137898714,0.691114245416079,0.8191360303813492
Model,100.0,784,19593,0.9162902567243403,0.8928571428571429,0.9397233705915378
Modern,416.40625,29,20348,0.8282572886939663,0.7241379310344828,0.93237664635345
Modpacks,535.9375,1134,19243,0.9357483208580577,0.908289241622575,0.9632074000935406
Monsters,7525.0,137,20240,0.8787053532789013,0.8613138686131386,0.896096837944664
Multiplayer,145.0,475,19902,0.8458774838815459,0.7852631578947369,0.906491809868355
NPC,15976.5625,256,20121,0.9156668561453207,0.890625,0.9407087122906416
Overrides,15976.5625,24,20353,0.926102212614029,0.9166666666666666,0.9355377585613914
Pants,1168.75,50,20327,0.9611201849756481,0.94,0.9822403699512963
Preset,156.25,6,20371,0.7169873840263119,0.5,0.9339747680526238
Prop,1112.5,25,20352,0.911061320754717,0.92,0.902122641509434
