Tag,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Everyone,4568,97317,0.4953135241110951,0.013572679509632224,0.9770543687125579
Exploration,323,101562,0.5483934442460775,0.09907120743034056,0.9977156810618144
Fantasy,286,101599,0.5642731120983859,0.13286713286713286,0.995679091329639
Farming,372,101513,0.5231789000169373,0.04838709677419355,0.9979707032596811
Feminine,2430,99455,0.5070508241107452,0.01440329218106996,0.9996983560404203
Food,565,101320,0.6167103525498814,0.24424778761061947,0.9891729174891433
Fun,5583,96302,0.5433335967741012,0.16335303600214937,0.9233141575460531
Furniture,131,101754,0.5778480940487063,0.16030534351145037,0.9953908445859623
Gameplay,3626,98259,0.5220303731203496,0.059845559845559844,0.9842151863951394
Hairstyles,1013,100872,0.5127715932077223,0.02665350444225074,0.9988896819731937
Head Accessories,376,101509,0.5013248615624273,0.0026595744680851063,0.9999901486567694
HUDs,322,101563,0.49983753926134517,0.0,0.9996750785226903
Items,2691,99194,0.5897534237436458,0.22519509476031216,0.9543117527269794
Improvements,30,101855,0.6291214635184004,0.26666666666666666,0.991576260370134
Language,323,101562,0.5709845799936265,0.15479876160990713,0.9871703983773459
Level,2034,99851,0.5671305604249053,0.17895771878072764,0.9553034020690829
Libraries,826,101059,0.5051708760162087,0.010895883777239709,0.9994458682551777
Magic,1028,100857,0.5954011813312442,0.20136186770428016,0.9894404949582082
Makeup,164,101721,0.5820467258481533,0.16463414634146342,0.9994593053548432
Map,4272,97613,0.832150523348125,0.7645131086142322,0.8997879380820177
Masculine,690,101195,0.5128211352597332,0.02608695652173913,0.9995553139977271
Medieval,137,101748,0.5786506609000224,0.16058394160583941,0.9967173801942053
Memes,186,101699,0.5097349790500261,0.021505376344086023,0.9979645817559661
Minigames,433,101452,0.5114093478170406,0.023094688221709007,0.9997240074123723
Miscellaneous,7285,94600,0.5010868904363421,0.0034317089910775567,0.9987420718816068
Model,4026,97859,0.8401299695329463,0.7704918032786885,0.9097681357872041
Modern,191,101694,0.5152242735804169,0.041884816753926704,0.988563730406907
Modpacks,5809,96076,0.5053718008260961,0.011878120158374935,0.9988654814938174
Monsters,602,101283,0.5485577023532267,0.10299003322259136,0.994125371483862
Multiplayer,2479,99406,0.5429255079731897,0.10205728116175877,0.9837937347846206
NPC,1329,100556,0.8369640420032116,0.6975169300225733,0.9764111539838498
Overrides,120,101765,0.5156594441441884,0.03333333333333333,0.9979855549550435
Pants,291,101594,0.6410909247488503,0.2852233676975945,0.9969584818001063
Preset,18,101867,0.5816301321003531,0.16666666666666666,0.9965935975340395
Prop,161,101724,0.7518449324942342,0.5590062111801242,0.9446836538083442
PvP,637,101248,0.5801462039461802,0.16326530612244897,0.9970271017699115
Quality of Life,481,101404,0.5112363887116362,0.02494802494802495,0.9975247524752475
Quests,315,101570,0.6678344436786889,0.3492063492063492,0.9864625381510288
Realistic,3766,98119,0.5289249614240139,0.06983536909187467,0.9880145537561532
Relaxing,192,101693,0.5695307352767645,0.140625,0.9984364705535288
Roleplay,3674,98211,0.5288329998302179,0.05933587370713119,0.9983301259533046
Rooms,580,101305,0.5536028534521052,0.11551724137931034,0.9916884655249001
Scenario,610,101275,0.6710254905690156,0.3475409836065574,0.9945099975314737
Scene,2848,99037,0.5105237772615455,0.028792134831460675,0.9922554196916304
Server-side,2634,99251,0.5128545302416848,0.026575550493545937,0.9991335099898238
Shirts,571,101314,0.5129028989895885,0.02626970227670753,0.9995360957024696
Shoes,245,101640,0.6626159554730984,0.32653061224489793,0.9987012987012988
Singleplayer,4756,97129,0.5058197132785727,0.016190075693860388,0.9954493508632849
Skins,1695,100190,0.5372199605410487,0.09262536873156342,0.9818145523505339
Skirts,113,101772,0.5171046489828557,0.035398230088495575,0.9988110678772157
Storage,521,101364,0.5883619218883224,0.18426103646833014,0.9924628073083146
Suits,1097,100788,0.6630960293597482,0.3290793072014585,0.9971127515180379
Tattoos,216,101669,0.5738871931172436,0.14814814814814814,0.999626238086339
Technology,995,100890,0.5140554093691772,0.033165829145728645,0.9949449895926257
