Tag,C,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Model,4.0234375,784,19593,0.8525395822852184,0.7691326530612245,0.9359465115092125
Modern,2.6171875,29,20348,0.8062573293655904,0.6551724137931034,0.9573422449380774
Modpacks,1.5625,1134,19243,0.903180441436777,0.8342151675485009,0.9721457153250532
Monsters,1.5625,137,20240,0.849058379735149,0.781021897810219,0.917094861660079
Multiplayer,1.5625,475,19902,0.7589564656289502,0.5936842105263158,0.9242287207315848
NPC,2.265625,256,20121,0.8667096293983898,0.78515625,0.9482630087967795
Overrides,1.5625,24,20353,0.9268381811035229,0.875,0.9786763622070457
Pants,1.28125,50,20327,0.9632601957986914,0.94,0.9865203915973828
Preset,1.2109375,6,20371,0.7350768248981395,0.5,0.970153649796279
Prop,8.2421875,25,20352,0.857276926100629,0.8,0.9145538522012578
PvP,2.265625,101,20276,0.8326822522457414,0.7227722772277227,0.9425922272637601
Quality of Life,2.265625,105,20272,0.8087970270981321,0.6952380952380952,0.9223559589581689
Quests,2.265625,58,20319,0.8677117221693302,0.7931034482758621,0.9423199960627984
Realistic,2.6171875,748,19629,0.8294264011858477,0.7713903743315508,0.8874624280401446
Relaxing,2.265625,32,20345,0.8391243241582698,0.71875,0.9594986483165396
Roleplay,2.6171875,751,19626,0.8261650996130978,0.7563249001331558,0.8960052990930398
Rooms,3.671875,104,20273,0.9128399747295569,0.8557692307692307,0.9699107186898831
Scenario,2.265625,103,20274,0.9299384835520361,0.8737864077669902,0.986090559337082
Scene,2.265625,565,19812,0.9119110791886209,0.8530973451327434,0.9707248132444983
Server-side,1.5625,544,19833,0.7571197903227241,0.6341911764705882,0.8800484041748601
Shirts,2.265625,130,20247,0.9741509663349937,0.9615384615384616,0.9867634711315256
Shoes,1.2109375,45,20332,0.9728348306992809,0.9555555555555556,0.9901141058430061
Singleplayer,2.6171875,983,19394,0.8801713013148869,0.8229908443540183,0.9373517582757553
Skins,2.265625,353,20024,0.8615912321644621,0.7422096317280453,0.980972832600879
Skirts,1.0,26,20351,0.9556910830312628,0.9230769230769231,0.9883052429856026
Storage,2.265625,108,20269,0.8840139475900983,0.8240740740740741,0.9439538211061227
Suits,1.5625,216,20161,0.8847650258015567,0.8287037037037037,0.9408263478994098
Tattoos,1.2109375,46,20331,0.9778919747740118,0.9565217391304348,0.9992622104175889
Technology,2.265625,232,20145,0.8302248354601552,0.7241379310344828,0.9363117398858277
