Tag,C,Positive Count,Negative Count,Accuracy,Positive Accuracy,Negative Accuracy
Roleplay,4.0234375,751,19626,0.8400274548165203,0.8175765645805593,0.8624783450524814
Rooms,15.625,104,20273,0.9175933602479994,0.8942307692307693,0.9409559512652296
Scenario,1.9140625,103,20274,0.9535897045429078,0.9320388349514563,0.9751405741343593
Scene,1.73828125,565,19812,0.918729642712292,0.8849557522123894,0.9525035332121946
Server-side,1.38671875,544,19833,0.7598002604838638,0.6636029411764706,0.855997579791257
Shirts,6.765625,130,20247,0.9812443248952362,0.9846153846153847,0.9778732651750877
Shoes,2.265625,45,20332,0.967473823420115,0.9555555555555556,0.9793920912846744
Singleplayer,4.796875,983,19394,0.8920121229720344,0.8708036622583927,0.9132205836856759
Skins,4.9375,353,20024,0.8606911790836831,0.8045325779036827,0.9168497802636836
Skirts,1.5625,26,20351,0.9694921436482048,0.9615384615384616,0.977445825757948
Storage,1.24609375,108,20269,0.8762681288521241,0.8240740740740741,0.9284621836301742
Suits,2.265625,216,20161,0.8964966280699627,0.8703703703703703,0.9226228857695551
Tattoos,0.6484375,46,20331,0.977965753732253,0.9565217391304348,0.9994097683340711
Technology,1.0,232,20145,0.8400988308898417,0.7543103448275862,0.9258873169520973
Textures,2.23046875,173,20204,0.8682383331635812,0.8439306358381503,0.892546030489012
Tools,10.703125,300,20077,0.7773106871876608,0.7333333333333333,0.8212880410419884
Tooltip,7.890625,147,20230,0.8818680413341807,0.8503401360544217,0.9133959466139397
Traditional,1.9140625,36,20341,0.9350060632876129,0.9166666666666666,0.9533454599085591
Traits,2.96875,34,20343,0.9060458721167275,0.8529411764705882,0.9591505677628668
Translation,2.6875,31,20346,0.842903257515942,0.7419354838709677,0.9438710311609162
Tweaks,2.265625,493,19884,0.798550150711857,0.7728194726166329,0.8242808288070811
UI,1.6328125,204,20173,0.8267228668099371,0.7843137254901961,0.8691320081296783
Utility,1.94921875,287,20090,0.7722747635639622,0.735191637630662,0.8093578894972623
Vehicle,3.63671875,279,20098,0.8968241994156947,0.8745519713261649,0.9190964275052244
Video,1.9140625,377,20000,0.9254496021220159,0.8938992042440318,0.957
Weapons,2.01953125,1043,19334,0.8687359542566109,0.825503355704698,0.9119685528085238
World,2.96875,105,20272,0.8920448566166799,0.8666666666666667,0.9174230465666929
World Gen,12.109375,130,20247,0.8495171174456995,0.8076923076923077,0.8913419271990912
